,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,type,uri,valence,billboard
0,0.10400000000000001,https://api.spotify.com/v1/audio-analysis/5hLjwP64UTYg0NeRoKfneN,Sundial Aeon,0.517,208588.0,0.529,5hLjwP64UTYg0NeRoKfneN,1.65e-05,4.0,0.0868,-5.803,1.0,0.0273,120.035,4.0,https://api.spotify.com/v1/tracks/5hLjwP64UTYg0NeRoKfneN,love shelter,audio_features,spotify:track:5hLjwP64UTYg0NeRoKfneN,0.275,0
1,0.987,https://api.spotify.com/v1/audio-analysis/006Ndmw2hHxvnLbJsBFnPx,Dean Martin,0.518,216373.0,0.06,006Ndmw2hHxvnLbJsBFnPx,7.87e-06,10.0,0.161,-14.887,1.0,0.0441,127.87,4.0,https://api.spotify.com/v1/tracks/006Ndmw2hHxvnLbJsBFnPx,Volare (Nel Blu Dipinto Di Blu),audio_features,spotify:track:006Ndmw2hHxvnLbJsBFnPx,0.336,1
2,0.121,https://api.spotify.com/v1/audio-analysis/09dKenoVuQzPRQ8Anoo6we,The Clash,0.866,162000.0,0.726,09dKenoVuQzPRQ8Anoo6we,0.0,2.0,0.159,-9.068999999999999,1.0,0.0609,132.45,4.0,https://api.spotify.com/v1/tracks/09dKenoVuQzPRQ8Anoo6we,Inoculated City,audio_features,spotify:track:09dKenoVuQzPRQ8Anoo6we,0.6729999999999999,0
3,0.963,https://api.spotify.com/v1/audio-analysis/6crfO56bDm0RjpctUuGs5X,Ernie Fields & Orch.,0.581,149827.0,0.0543,6crfO56bDm0RjpctUuGs5X,0.00027400000000000005,0.0,0.0968,-14.595,1.0,0.0466,124.185,4.0,https://api.spotify.com/v1/tracks/6crfO56bDm0RjpctUuGs5X,In The Mood,audio_features,spotify:track:6crfO56bDm0RjpctUuGs5X,0.175,1
4,0.474,https://api.spotify.com/v1/audio-analysis/4MIJFNWRtXxgCwSaxnyK84,Amalia Avgoustaki,0.857,64520.0,0.478,4MIJFNWRtXxgCwSaxnyK84,0.0,0.0,0.0921,-13.777000000000001,1.0,0.0497,116.09299999999999,3.0,https://api.spotify.com/v1/tracks/4MIJFNWRtXxgCwSaxnyK84,Dimitroula,audio_features,spotify:track:4MIJFNWRtXxgCwSaxnyK84,0.977,0
5,0.10099999999999999,https://api.spotify.com/v1/audio-analysis/2eD05M0sROqhQpkQJ9ze8x,D:Fuse,0.53,231640.0,0.504,2eD05M0sROqhQpkQJ9ze8x,0.000633,5.0,0.106,-6.71,1.0,0.0251,77.295,4.0,https://api.spotify.com/v1/tracks/2eD05M0sROqhQpkQJ9ze8x,Living The Dream,audio_features,spotify:track:2eD05M0sROqhQpkQJ9ze8x,0.56,0
6,0.371,https://api.spotify.com/v1/audio-analysis/7CAQNIxHDPn1gcOuSrpQ2n,Tum Tum,0.632,188960.0,0.579,7CAQNIxHDPn1gcOuSrpQ2n,0.0,1.0,0.38799999999999996,-10.585999999999999,1.0,0.589,82.98299999999999,4.0,https://api.spotify.com/v1/tracks/7CAQNIxHDPn1gcOuSrpQ2n,Money In Da Bank [Screwed],audio_features,spotify:track:7CAQNIxHDPn1gcOuSrpQ2n,0.374,0
7,0.102,https://api.spotify.com/v1/audio-analysis/0eg0NUo9jSmdVo1nnHH7j5,unloco,0.40299999999999997,351173.0,0.442,0eg0NUo9jSmdVo1nnHH7j5,0.00361,2.0,0.138,-8.868,1.0,0.0348,95.21700000000001,4.0,https://api.spotify.com/v1/tracks/0eg0NUo9jSmdVo1nnHH7j5,Reckoning (Album Version),audio_features,spotify:track:0eg0NUo9jSmdVo1nnHH7j5,0.262,0
8,0.0214,https://api.spotify.com/v1/audio-analysis/4LZe6V8OUXdO0MyaLzBZuv,Leona Naess,0.6409999999999999,138589.0,0.34600000000000003,4LZe6V8OUXdO0MyaLzBZuv,0.0142,1.0,0.11900000000000001,-8.701,1.0,0.27,118.637,4.0,https://api.spotify.com/v1/tracks/4LZe6V8OUXdO0MyaLzBZuv,Chase,audio_features,spotify:track:4LZe6V8OUXdO0MyaLzBZuv,0.252,0
9,0.938,https://api.spotify.com/v1/audio-analysis/0T7jzjQENOkhRNwkfGbTO7,Rita Chiarelli,0.541,173027.0,0.366,0T7jzjQENOkhRNwkfGbTO7,0.445,5.0,0.107,-9.19,1.0,0.0252,94.809,3.0,https://api.spotify.com/v1/tracks/0T7jzjQENOkhRNwkfGbTO7,Doggin' Around,audio_features,spotify:track:0T7jzjQENOkhRNwkfGbTO7,0.425,0
10,,,Lady Gaga,,,,,,,,,,,,,,Alejandro,,,,1
11,0.336,https://api.spotify.com/v1/audio-analysis/7IlIYk9v4YKWqwwXU5IVrn,Jackie Edwards,0.833,268000.0,0.452,7IlIYk9v4YKWqwwXU5IVrn,0.0157,11.0,0.0611,-9.838,0.0,0.136,76.232,4.0,https://api.spotify.com/v1/tracks/7IlIYk9v4YKWqwwXU5IVrn,So Jah Seh,audio_features,spotify:track:7IlIYk9v4YKWqwwXU5IVrn,0.888,0
12,0.07,https://api.spotify.com/v1/audio-analysis/0XOKietGW4PXK4hs4jyfpO,Audio Pyper,0.956,152992.0,0.519,0XOKietGW4PXK4hs4jyfpO,0.0,11.0,0.106,-7.832000000000001,1.0,0.16699999999999998,132.061,4.0,https://api.spotify.com/v1/tracks/0XOKietGW4PXK4hs4jyfpO,Walk in the Park,audio_features,spotify:track:0XOKietGW4PXK4hs4jyfpO,0.529,0
13,0.004229999999999999,https://api.spotify.com/v1/audio-analysis/6HAsk04nz2TaEbK8lncN3w,Montgomery Gentry,0.643,211107.0,0.86,6HAsk04nz2TaEbK8lncN3w,0.0,11.0,0.28600000000000003,-4.447,1.0,0.0495,111.148,4.0,https://api.spotify.com/v1/tracks/6HAsk04nz2TaEbK8lncN3w,One In Every Crowd,audio_features,spotify:track:6HAsk04nz2TaEbK8lncN3w,0.674,1
14,0.47600000000000003,https://api.spotify.com/v1/audio-analysis/0dgdP5q0irOwAn7hEvEep1,Bob Dylan,0.48100000000000004,320707.0,0.479,0dgdP5q0irOwAn7hEvEep1,0.00105,3.0,0.271,-13.366,1.0,0.0325,95.274,4.0,https://api.spotify.com/v1/tracks/0dgdP5q0irOwAn7hEvEep1,Trying To Get To Heaven,audio_features,spotify:track:0dgdP5q0irOwAn7hEvEep1,0.552,0
15,0.473,https://api.spotify.com/v1/audio-analysis/4Oz9avF6jbz2emynwgSoCr,Frank Sinatra,0.626,122333.0,0.32,4Oz9avF6jbz2emynwgSoCr,0.0,6.0,0.0535,-13.955,1.0,0.0451,122.59,4.0,https://api.spotify.com/v1/tracks/4Oz9avF6jbz2emynwgSoCr,French Foreign Legion,audio_features,spotify:track:4Oz9avF6jbz2emynwgSoCr,0.725,1
16,0.344,https://api.spotify.com/v1/audio-analysis/4mOxpj82q6n3EO7HBZCelX,Shawn Colvin,0.5539999999999999,264200.0,0.58,4mOxpj82q6n3EO7HBZCelX,0.00842,11.0,0.0989,-8.05,0.0,0.0322,167.83,4.0,https://api.spotify.com/v1/tracks/4mOxpj82q6n3EO7HBZCelX,Sunny Came Home,audio_features,spotify:track:4mOxpj82q6n3EO7HBZCelX,0.402,0
17,0.00521,https://api.spotify.com/v1/audio-analysis/6CymD6SmFVAqJLVyqjwFy2,Busdriver,0.624,223627.0,0.706,6CymD6SmFVAqJLVyqjwFy2,0.00995,9.0,0.0977,-7.098,1.0,0.0271,129.995,4.0,https://api.spotify.com/v1/tracks/6CymD6SmFVAqJLVyqjwFy2,Sun Shower (Single Version),audio_features,spotify:track:6CymD6SmFVAqJLVyqjwFy2,0.40299999999999997,0
18,0.322,https://api.spotify.com/v1/audio-analysis/04jVEb76Kw5OrmGtlXlHxI,Faron Young,0.669,255947.0,0.35200000000000004,04jVEb76Kw5OrmGtlXlHxI,0.0,1.0,0.484,-11.18,1.0,0.455,76.851,4.0,https://api.spotify.com/v1/tracks/04jVEb76Kw5OrmGtlXlHxI,Alone With You,audio_features,spotify:track:04jVEb76Kw5OrmGtlXlHxI,0.528,1
19,0.836,https://api.spotify.com/v1/audio-analysis/0csvKJtWJZtBcWQ83Z5aFW,Johnny Nash,0.581,148640.0,0.332,0csvKJtWJZtBcWQ83Z5aFW,0.0,5.0,0.294,-8.422,0.0,0.0452,125.913,4.0,https://api.spotify.com/v1/tracks/0csvKJtWJZtBcWQ83Z5aFW,Almost In Your Arms,audio_features,spotify:track:0csvKJtWJZtBcWQ83Z5aFW,0.605,1
20,0.0503,https://api.spotify.com/v1/audio-analysis/7vybPqtuir09bEVUuOOY5f,Galactic,0.738,205080.0,0.731,7vybPqtuir09bEVUuOOY5f,0.0,9.0,0.0457,-4.129,1.0,0.214,91.807,4.0,https://api.spotify.com/v1/tracks/7vybPqtuir09bEVUuOOY5f,Squarebiz,audio_features,spotify:track:7vybPqtuir09bEVUuOOY5f,0.8640000000000001,0
21,0.861,https://api.spotify.com/v1/audio-analysis/0gPX8VCqSEnYhIMHvqGUr7,The King Sisters,0.278,150200.0,0.141,0gPX8VCqSEnYhIMHvqGUr7,0.002,10.0,0.382,-13.719000000000001,1.0,0.031,101.74700000000001,3.0,https://api.spotify.com/v1/tracks/0gPX8VCqSEnYhIMHvqGUr7,Hawaiian Wedding Song,audio_features,spotify:track:0gPX8VCqSEnYhIMHvqGUr7,0.17600000000000002,0
22,0.22,https://api.spotify.com/v1/audio-analysis/2ZJZcqM60OwgqTO1OvJpHL,Delbert McClinton,0.612,170093.0,0.601,2ZJZcqM60OwgqTO1OvJpHL,0.0,8.0,0.446,-9.095,0.0,0.0425,130.939,4.0,https://api.spotify.com/v1/tracks/2ZJZcqM60OwgqTO1OvJpHL,He Will Break Your Heart,audio_features,spotify:track:2ZJZcqM60OwgqTO1OvJpHL,0.6920000000000001,0
23,0.155,https://api.spotify.com/v1/audio-analysis/0V80HkM7kBvdFC81jV7CPt,Beatnuts,0.763,231133.0,0.68,0V80HkM7kBvdFC81jV7CPt,0.0,2.0,0.149,-6.523,1.0,0.245,92.074,4.0,https://api.spotify.com/v1/tracks/0V80HkM7kBvdFC81jV7CPt,No Escapin' This,audio_features,spotify:track:0V80HkM7kBvdFC81jV7CPt,0.85,0
24,0.0738,https://api.spotify.com/v1/audio-analysis/3hVaK0zn3sVWWY8TvN1Te5,Pablo Montero,0.6859999999999999,236413.0,0.868,3hVaK0zn3sVWWY8TvN1Te5,0.0,0.0,0.287,-3.889,1.0,0.0504,125.76799999999999,4.0,https://api.spotify.com/v1/tracks/3hVaK0zn3sVWWY8TvN1Te5,Cuando Calienta El Sol,audio_features,spotify:track:3hVaK0zn3sVWWY8TvN1Te5,0.557,0
25,0.877,https://api.spotify.com/v1/audio-analysis/1N96M74ghEUEHdVycsmYu9,Didier FranASSois,0.47200000000000003,185000.0,0.305,1N96M74ghEUEHdVycsmYu9,0.000989,7.0,0.127,-14.424000000000001,0.0,0.0674,160.085,4.0,https://api.spotify.com/v1/tracks/1N96M74ghEUEHdVycsmYu9,Dans cette nuit j'ai envie de me perdre,audio_features,spotify:track:1N96M74ghEUEHdVycsmYu9,0.27,0
26,0.0627,https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0,Jason Mraz & Colbie Caillat,0.8759999999999999,244679.0,0.7859999999999999,60SdxE8apGAxMiRrpbmLY0,0.0,10.0,0.127,-4.8839999999999995,0.0,0.306,153.06799999999998,4.0,https://api.spotify.com/v1/tracks/60SdxE8apGAxMiRrpbmLY0,Lucky,audio_features,spotify:track:60SdxE8apGAxMiRrpbmLY0,0.575,1
27,0.0706,https://api.spotify.com/v1/audio-analysis/3R60MeWYg7kRr5hNA8mlu9,Sizzla,0.629,250410.0,0.847,3R60MeWYg7kRr5hNA8mlu9,0.000268,5.0,0.0889,-2.4419999999999997,0.0,0.0711,114.92399999999999,4.0,https://api.spotify.com/v1/tracks/3R60MeWYg7kRr5hNA8mlu9,Love & Devotion,audio_features,spotify:track:3R60MeWYg7kRr5hNA8mlu9,0.33399999999999996,0
