,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,type,uri,valence,0
0,0.0806,https://api.spotify.com/v1/audio-analysis/5AQgKuJy8j85tFZisxEv2G,Casual,0.521,202214.0,0.642,5AQgKuJy8j85tFZisxEv2G,0.0,9.0,0.149,-8.165,1.0,0.0553,84.023,4.0,https://api.spotify.com/v1/tracks/5AQgKuJy8j85tFZisxEv2G,I Didn't Mean To,audio_features,spotify:track:5AQgKuJy8j85tFZisxEv2G,0.717,
0,0.00393,https://api.spotify.com/v1/audio-analysis/7hhALyPapWKKdgucZdtmFf,The Box Tops,0.575,144833.0,0.944,7hhALyPapWKKdgucZdtmFf,0.765,1.0,0.0814,-6.593,0.0,0.0394,128.001,4.0,https://api.spotify.com/v1/tracks/7hhALyPapWKKdgucZdtmFf,Soul Deep,audio_features,spotify:track:7hhALyPapWKKdgucZdtmFf,0.442,
0,0.689,https://api.spotify.com/v1/audio-analysis/5JeyXbf7CrVQ8DqwFikN0P,Sonora Santanera,0.699,183027.0,0.519,5JeyXbf7CrVQ8DqwFikN0P,0.000471,8.0,0.935,-6.422,1.0,0.029,102.463,4.0,https://api.spotify.com/v1/tracks/5JeyXbf7CrVQ8DqwFikN0P,Amor De Cabaret,audio_features,spotify:track:5JeyXbf7CrVQ8DqwFikN0P,0.676,
0,0.179,https://api.spotify.com/v1/audio-analysis/3xHIyErJUeuy0MpjUKRuPw,Adam Ant,0.813,200705.0,0.683,3xHIyErJUeuy0MpjUKRuPw,0.0,6.0,0.0748,-3.813,0.0,0.0285,107.95,4.0,https://api.spotify.com/v1/tracks/3xHIyErJUeuy0MpjUKRuPw,Something Girls,audio_features,spotify:track:3xHIyErJUeuy0MpjUKRuPw,0.668,
0,7.99e-06,https://api.spotify.com/v1/audio-analysis/2YoX0dLXiK3uKDm7MpL63C,Gob,0.41,183912.0,0.982,2YoX0dLXiK3uKDm7MpL63C,0.135,5.0,0.483,-3.774,0.0,0.172,155.124,4.0,https://api.spotify.com/v1/tracks/2YoX0dLXiK3uKDm7MpL63C,Face the Ashes,audio_features,spotify:track:2YoX0dLXiK3uKDm7MpL63C,0.228,
0,0.706,https://api.spotify.com/v1/audio-analysis/7ERvcsBBYzSHqQQqlI9xAN,Jeff And Sheri Easter,0.456,267640.0,0.472,7ERvcsBBYzSHqQQqlI9xAN,4.93e-06,5.0,0.0833,-8.328,1.0,0.0325,147.565,4.0,https://api.spotify.com/v1/tracks/7ERvcsBBYzSHqQQqlI9xAN,The Moon And I (Ordinary Day Album Version),audio_features,spotify:track:7ERvcsBBYzSHqQQqlI9xAN,0.286,
0,0.799,https://api.spotify.com/v1/audio-analysis/0e4hF4Jxyh7cuwB2pMYhBh,Rated R,0.683,112947.0,0.173,0e4hF4Jxyh7cuwB2pMYhBh,0.0,1.0,0.23,-16.056,1.0,0.895,83.834,4.0,https://api.spotify.com/v1/tracks/0e4hF4Jxyh7cuwB2pMYhBh,Keepin It Real (Skit),audio_features,spotify:track:0e4hF4Jxyh7cuwB2pMYhBh,0.696,
0,4.84e-05,https://api.spotify.com/v1/audio-analysis/14NEgZFbFI38a0TsxaKNoV,Tweeterfriendly Music,0.0822,68011.0,0.814,14NEgZFbFI38a0TsxaKNoV,0.989,1.0,0.499,-24.379,1.0,0.0564,173.199,3.0,https://api.spotify.com/v1/tracks/14NEgZFbFI38a0TsxaKNoV,Drop of Rain,audio_features,spotify:track:14NEgZFbFI38a0TsxaKNoV,0.0298,
0,0.598,https://api.spotify.com/v1/audio-analysis/3e5eR2DBoHD2qR4HN3YmTv,Planet P Project,0.731,155240.0,0.447,3e5eR2DBoHD2qR4HN3YmTv,0.000279,5.0,0.116,-9.038,1.0,0.0386,108.838,4.0,https://api.spotify.com/v1/tracks/3e5eR2DBoHD2qR4HN3YmTv,Pink World,audio_features,spotify:track:3e5eR2DBoHD2qR4HN3YmTv,0.595,
0,0.613,https://api.spotify.com/v1/audio-analysis/7pMOvSP7btxM04kj9EV3pL,Clp,0.236,274991.0,0.522,7pMOvSP7btxM04kj9EV3pL,0.625,5.0,0.0942,-9.334,1.0,0.0466,76.337,4.0,https://api.spotify.com/v1/tracks/7pMOvSP7btxM04kj9EV3pL,Insatiable (Instrumental Version),audio_features,spotify:track:7pMOvSP7btxM04kj9EV3pL,0.263,
0,0.594,https://api.spotify.com/v1/audio-analysis/0qqGmtLGZidu6B5WrH6dh3,JennyAnyKind,0.34,142249.0,0.448,0qqGmtLGZidu6B5WrH6dh3,2.36e-06,0.0,0.293,-11.452,1.0,0.0363,169.522,3.0,https://api.spotify.com/v1/tracks/0qqGmtLGZidu6B5WrH6dh3,Young Boy Blues,audio_features,spotify:track:0qqGmtLGZidu6B5WrH6dh3,0.657,
0,0.0376,https://api.spotify.com/v1/audio-analysis/2hl6q70unbviGo3g1R7uFx,Andy Andy,0.733,173720.0,0.892,2hl6q70unbviGo3g1R7uFx,0.0,0.0,0.137,-3.641,1.0,0.0417,95.989,4.0,https://api.spotify.com/v1/tracks/2hl6q70unbviGo3g1R7uFx,La Culpa,audio_features,spotify:track:2hl6q70unbviGo3g1R7uFx,0.675,
0,0.268,https://api.spotify.com/v1/audio-analysis/0DiSk1STsEM5bVOQHBqB1N,Bob Azzam,0.699,191949.0,0.44,0DiSk1STsEM5bVOQHBqB1N,0.00033,6.0,0.294,-12.359,1.0,0.033,137.358,4.0,https://api.spotify.com/v1/tracks/0DiSk1STsEM5bVOQHBqB1N,Auguri Cha Cha,audio_features,spotify:track:0DiSk1STsEM5bVOQHBqB1N,0.909,
0,0.0672,https://api.spotify.com/v1/audio-analysis/2Jr12fpsMdIM6weoUDMf9u,Lionel Richie,0.651,307413.0,0.816,2Jr12fpsMdIM6weoUDMf9u,0.00548,8.0,0.0524,-8.24,1.0,0.0279,125.199,4.0,https://api.spotify.com/v1/tracks/2Jr12fpsMdIM6weoUDMf9u,Tonight Will Be Alright,audio_features,spotify:track:2Jr12fpsMdIM6weoUDMf9u,0.72,
0,0.181,https://api.spotify.com/v1/audio-analysis/4NN6N5TxBO5k9uqu0W4gfQ,Blue Rodeo,0.906,186827.0,0.545,4NN6N5TxBO5k9uqu0W4gfQ,0.0,11.0,0.091,-4.977,0.0,0.344,139.932,4.0,https://api.spotify.com/v1/tracks/4NN6N5TxBO5k9uqu0W4gfQ,Floating,audio_features,spotify:track:4NN6N5TxBO5k9uqu0W4gfQ,0.543,
0,0.00538,https://api.spotify.com/v1/audio-analysis/4VsMart0lkjUtyQnmxloK6,Richard Souther,0.797,169320.0,0.516,4VsMart0lkjUtyQnmxloK6,0.431,1.0,0.0728,-6.286,1.0,0.0831,109.997,4.0,https://api.spotify.com/v1/tracks/4VsMart0lkjUtyQnmxloK6,High Tide,audio_features,spotify:track:4VsMart0lkjUtyQnmxloK6,0.0477,
0,0.308,https://api.spotify.com/v1/audio-analysis/3ukWqBHE8jIlRSKNP99I7X,Faiz Ali Faiz,0.569,599240.0,0.876,3ukWqBHE8jIlRSKNP99I7X,0.152,6.0,0.472,-6.505,1.0,0.0426,99.325,4.0,https://api.spotify.com/v1/tracks/3ukWqBHE8jIlRSKNP99I7X,Sohna Nee Sohna Data,audio_features,spotify:track:3ukWqBHE8jIlRSKNP99I7X,0.931,
0,0.193,https://api.spotify.com/v1/audio-analysis/4Q2UbOhGxHwoa3QuLHYQjh,Tesla,0.554,189907.0,0.633,4Q2UbOhGxHwoa3QuLHYQjh,0.00035,9.0,0.205,-13.091,1.0,0.0309,136.925,4.0,https://api.spotify.com/v1/tracks/4Q2UbOhGxHwoa3QuLHYQjh,Caught In A Dream,audio_features,spotify:track:4Q2UbOhGxHwoa3QuLHYQjh,0.907,
0,0.567,https://api.spotify.com/v1/audio-analysis/0GG5D9vZNBcnye4he9dAgr,lextrical,0.423,264336.0,0.609,0GG5D9vZNBcnye4he9dAgr,0.967,10.0,0.22,-9.914,0.0,0.0473,62.491,4.0,https://api.spotify.com/v1/tracks/0GG5D9vZNBcnye4he9dAgr,Synthetic Dream,audio_features,spotify:track:0GG5D9vZNBcnye4he9dAgr,0.306,
0,0.976,https://api.spotify.com/v1/audio-analysis/1QHiJMpHVgAJUvwnCrEZ60,Jimmy Wakely,0.373,143592.0,0.203,1QHiJMpHVgAJUvwnCrEZ60,0.939,5.0,0.148,-15.571,1.0,0.0563,68.436,4.0,https://api.spotify.com/v1/tracks/1QHiJMpHVgAJUvwnCrEZ60,Broken-Down Merry-Go-Round,audio_features,spotify:track:1QHiJMpHVgAJUvwnCrEZ60,0.858,
0,0.991,https://api.spotify.com/v1/audio-analysis/01x3n1UG4EtfggWiDzlwSX,Alice Stuart,0.547,186044.0,0.166,01x3n1UG4EtfggWiDzlwSX,0.000268,0.0,0.175,-18.373,1.0,0.035,104.056,4.0,https://api.spotify.com/v1/tracks/01x3n1UG4EtfggWiDzlwSX,Kassie Jones,audio_features,spotify:track:01x3n1UG4EtfggWiDzlwSX,0.629,
0,0.664,https://api.spotify.com/v1/audio-analysis/1ZV1Ff9ebiB5pXpnC8Hfan,Elena,0.537,269351.0,0.367,1ZV1Ff9ebiB5pXpnC8Hfan,0.0455,2.0,0.0738,-6.547,1.0,0.0336,142.016,4.0,https://api.spotify.com/v1/tracks/1ZV1Ff9ebiB5pXpnC8Hfan,Setanta matins,audio_features,spotify:track:1ZV1Ff9ebiB5pXpnC8Hfan,0.347,
0,0.0093,https://api.spotify.com/v1/audio-analysis/2ZyNYdziwt0ZS9mxRiwnXM,The Dillinger Escape Plan,0.413,207773.0,0.992,2ZyNYdziwt0ZS9mxRiwnXM,0.000562,9.0,0.232,-3.923,0.0,0.375,166.906,4.0,https://api.spotify.com/v1/tracks/2ZyNYdziwt0ZS9mxRiwnXM,Setting Fire to Sleeping Giants,audio_features,spotify:track:2ZyNYdziwt0ZS9mxRiwnXM,0.29,
0,0.808,https://api.spotify.com/v1/audio-analysis/1N58xQLv5FZ6LgEfcxVByP,SUE THOMPSON,0.74,135160.0,0.571,1N58xQLv5FZ6LgEfcxVByP,0.0,10.0,0.112,-9.961,1.0,0.0361,138.06,4.0,https://api.spotify.com/v1/tracks/1N58xQLv5FZ6LgEfcxVByP,James (Hold The Ladder Steady),audio_features,spotify:track:1N58xQLv5FZ6LgEfcxVByP,0.962,
0,0.0295,https://api.spotify.com/v1/audio-analysis/6Wbry7hyPRuPyp3K8ml5j3,Five Bolt Main,0.403,252245.0,0.694,6Wbry7hyPRuPyp3K8ml5j3,0.000245,3.0,0.359,-7.475,1.0,0.0433,151.841,4.0,https://api.spotify.com/v1/tracks/6Wbry7hyPRuPyp3K8ml5j3,Made Like This (Live),audio_features,spotify:track:6Wbry7hyPRuPyp3K8ml5j3,0.497,
0,0.235,https://api.spotify.com/v1/audio-analysis/5KZSRoDwhKYu2ermOEWBKo,Clp,0.839,253760.0,0.865,5KZSRoDwhKYu2ermOEWBKo,0.0,1.0,0.106,-6.563,1.0,0.0519,117.981,4.0,https://api.spotify.com/v1/tracks/5KZSRoDwhKYu2ermOEWBKo,Superconfidential,audio_features,spotify:track:5KZSRoDwhKYu2ermOEWBKo,0.711,
0,0.566,https://api.spotify.com/v1/audio-analysis/5C5ZC5iYJ00ZmTLmEdBCk3,Tim Wilson,0.624,186440.0,0.88,5C5ZC5iYJ00ZmTLmEdBCk3,0.0,5.0,0.327,-3.152,1.0,0.0476,135.019,4.0,https://api.spotify.com/v1/tracks/5C5ZC5iYJ00ZmTLmEdBCk3,I Think My Wife Is Running Around On Me (Taco Hell),audio_features,spotify:track:5C5ZC5iYJ00ZmTLmEdBCk3,0.709,
0,0.258,https://api.spotify.com/v1/audio-analysis/4FOFC3YNvDgLesoVqRthZh,Willie Bobo,0.795,168733.0,0.569,4FOFC3YNvDgLesoVqRthZh,5.78e-06,3.0,0.277,-10.72,1.0,0.0346,127.259,4.0,https://api.spotify.com/v1/tracks/4FOFC3YNvDgLesoVqRthZh,Spanish Grease,audio_features,spotify:track:4FOFC3YNvDgLesoVqRthZh,0.862,
0,0.336,https://api.spotify.com/v1/audio-analysis/2d7xcoZ2gvswGHysTbgfiA,Faye Adams,0.796,148813.0,0.409,2d7xcoZ2gvswGHysTbgfiA,0.0062,1.0,0.0865,-10.579,1.0,0.0594,75.865,4.0,https://api.spotify.com/v1/tracks/2d7xcoZ2gvswGHysTbgfiA,Crazy Mixed Up World,audio_features,spotify:track:2d7xcoZ2gvswGHysTbgfiA,0.738,
0,0.814,https://api.spotify.com/v1/audio-analysis/6rbqQ2lN1TEdKngsLZEpzy,Terry Callier,0.359,342587.0,0.291,6rbqQ2lN1TEdKngsLZEpzy,0.0,6.0,0.104,-11.244,1.0,0.0313,114.094,4.0,https://api.spotify.com/v1/tracks/6rbqQ2lN1TEdKngsLZEpzy,Do You Finally Need A Friend,audio_features,spotify:track:6rbqQ2lN1TEdKngsLZEpzy,0.193,
0,0.00046,https://api.spotify.com/v1/audio-analysis/6gShc0YQQGkHqzaB0xWoxy,John Wesley,0.446,354667.0,0.932,6gShc0YQQGkHqzaB0xWoxy,1.25e-05,3.0,0.0784,-6.473,0.0,0.0639,169.936,4.0,https://api.spotify.com/v1/tracks/6gShc0YQQGkHqzaB0xWoxy,The Emperor Falls,audio_features,spotify:track:6gShc0YQQGkHqzaB0xWoxy,0.603,
0,0.641,https://api.spotify.com/v1/audio-analysis/5ZBeML7Lf3FMEVviTyvi8l,The Shangri-Las,0.482,155227.0,0.849,5ZBeML7Lf3FMEVviTyvi8l,7.74e-06,2.0,0.0414,-9.198,1.0,0.0452,124.631,4.0,https://api.spotify.com/v1/tracks/5ZBeML7Lf3FMEVviTyvi8l,Twist and Shout,audio_features,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,0.937,
0,0.948,https://api.spotify.com/v1/audio-analysis/462AEvpklx6OQfii3zZAzE,Billie Jo Spears,0.702,215733.0,0.115,462AEvpklx6OQfii3zZAzE,8.61e-06,8.0,0.113,-17.284,1.0,0.0919,82.568,4.0,https://api.spotify.com/v1/tracks/462AEvpklx6OQfii3zZAzE,It Makes No Difference Now,audio_features,spotify:track:462AEvpklx6OQfii3zZAzE,0.52,
0,0.0437,https://api.spotify.com/v1/audio-analysis/4RlRwnxwwLmsgwUN0PSKEe,Butthole Surfers,0.21,450840.0,0.897,4RlRwnxwwLmsgwUN0PSKEe,0.681,2.0,0.362,-8.898,0.0,0.085,130.473,4.0,https://api.spotify.com/v1/tracks/4RlRwnxwwLmsgwUN0PSKEe,"Barking Dogs (From ""Piouhgd"")",audio_features,spotify:track:4RlRwnxwwLmsgwUN0PSKEe,0.121,
0,0.863,https://api.spotify.com/v1/audio-analysis/7idHNbQRNVyIGDi7ZHyxof,Despina Vandi,0.35,426267.0,0.156,7idHNbQRNVyIGDi7ZHyxof,0.844,7.0,0.2,-19.484,1.0,0.0357,99.983,3.0,https://api.spotify.com/v1/tracks/7idHNbQRNVyIGDi7ZHyxof,OUTE ENA EFHARISTO,audio_features,spotify:track:7idHNbQRNVyIGDi7ZHyxof,0.233,
0,0.00307,https://api.spotify.com/v1/audio-analysis/6dHFDPpzaPUtirY92lT0T7,Javier Navarrete,0.668,207272.0,0.722,6dHFDPpzaPUtirY92lT0T7,8.74e-05,10.0,0.453,-4.215,0.0,0.0422,87.99,4.0,https://api.spotify.com/v1/tracks/6dHFDPpzaPUtirY92lT0T7,Midnight Swim,audio_features,spotify:track:6dHFDPpzaPUtirY92lT0T7,0.527,
0,0.0297,https://api.spotify.com/v1/audio-analysis/2sryf8VB9TSNJMraGs6KDY,Jacob Young,0.447,246243.0,0.668,2sryf8VB9TSNJMraGs6KDY,0.624,2.0,0.275,-7.921,0.0,0.036,189.938,4.0,https://api.spotify.com/v1/tracks/2sryf8VB9TSNJMraGs6KDY,In A Subtle Way,audio_features,spotify:track:2sryf8VB9TSNJMraGs6KDY,0.245,
0,0.00147,https://api.spotify.com/v1/audio-analysis/1yj1ZztSGITJ5Nf4mfH92c,Scarlet's Remains,0.517,212850.0,0.877,1yj1ZztSGITJ5Nf4mfH92c,0.0,4.0,0.208,-3.621,1.0,0.0297,150.004,4.0,https://api.spotify.com/v1/tracks/1yj1ZztSGITJ5Nf4mfH92c,Spin,audio_features,spotify:track:1yj1ZztSGITJ5Nf4mfH92c,0.616,
