,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_name,type,uri,valence,0
0,0.992,https://api.spotify.com/v1/audio-analysis/35h1sceqSdzCftH12t0LkT,The Elegants,0.588,112875.0,0.0185,35h1sceqSdzCftH12t0LkT,0.917,7.0,0.0943,-20.676,1.0,0.0542,121.072,4.0,https://api.spotify.com/v1/tracks/35h1sceqSdzCftH12t0LkT,Little Star,audio_features,spotify:track:35h1sceqSdzCftH12t0LkT,0.5,
0,0.987,https://api.spotify.com/v1/audio-analysis/006Ndmw2hHxvnLbJsBFnPx,Domenico Modugno,0.518,216373.0,0.06,006Ndmw2hHxvnLbJsBFnPx,7.87e-06,10.0,0.161,-14.887,1.0,0.0441,127.87,4.0,https://api.spotify.com/v1/tracks/006Ndmw2hHxvnLbJsBFnPx,Nel Blu Dipinto Di Blu (Volaré),audio_features,spotify:track:006Ndmw2hHxvnLbJsBFnPx,0.336,
0,0.795,https://api.spotify.com/v1/audio-analysis/1X3T2J7S1s6aCIbmjFf2NG,The Everly Brothers,0.359,242226.0,0.391,1X3T2J7S1s6aCIbmjFf2NG,0.0708,3.0,0.163,-8.034,1.0,0.026,154.66,3.0,https://api.spotify.com/v1/tracks/1X3T2J7S1s6aCIbmjFf2NG,Bird Dog,audio_features,spotify:track:1X3T2J7S1s6aCIbmjFf2NG,0.19,
0,0.0421,https://api.spotify.com/v1/audio-analysis/3ZdJffjzJWFimSQyxgGIxN,Jimmy Clanton And His Rockets,0.531,237800.0,0.752,3ZdJffjzJWFimSQyxgGIxN,0.0,1.0,0.12,-6.161,1.0,0.0305,89.917,4.0,https://api.spotify.com/v1/tracks/3ZdJffjzJWFimSQyxgGIxN,Just A Dream,audio_features,spotify:track:3ZdJffjzJWFimSQyxgGIxN,0.103,
0,0.982,https://api.spotify.com/v1/audio-analysis/35HX8z7O4MaVVrT40YEujJ,Jack Scott,0.084,427360.0,0.00835,35HX8z7O4MaVVrT40YEujJ,0.943,8.0,0.0597,-33.475,0.0,0.041,83.285,4.0,https://api.spotify.com/v1/tracks/35HX8z7O4MaVVrT40YEujJ,My True Love,audio_features,spotify:track:35HX8z7O4MaVVrT40YEujJ,0.0679,
0,0.648,https://api.spotify.com/v1/audio-analysis/5ayybTSXNwcarDtxQKqvWX,Ricky Nelson,0.474,153933.0,0.338,5ayybTSXNwcarDtxQKqvWX,0.0,0.0,0.13,-11.528,1.0,0.0299,154.596,4.0,https://api.spotify.com/v1/tracks/5ayybTSXNwcarDtxQKqvWX,Poor Little Fool,audio_features,spotify:track:5ayybTSXNwcarDtxQKqvWX,0.81,
0,0.991,https://api.spotify.com/v1/audio-analysis/7HCUDKIIKs4fdAXJTjOvA5,Perez Prado And His Orchestra,0.242,179818.0,0.0192,7HCUDKIIKs4fdAXJTjOvA5,0.926,7.0,0.111,-29.824,1.0,0.06,64.39,3.0,https://api.spotify.com/v1/tracks/7HCUDKIIKs4fdAXJTjOvA5,Patricia,audio_features,spotify:track:7HCUDKIIKs4fdAXJTjOvA5,0.128,
0,6.13e-05,https://api.spotify.com/v1/audio-analysis/1liqxWv5Stjdtor4n3S9cZ,Poni-Tails,0.313,195067.0,0.688,1liqxWv5Stjdtor4n3S9cZ,2.45e-05,11.0,0.146,-7.524,1.0,0.0306,186.348,4.0,https://api.spotify.com/v1/tracks/1liqxWv5Stjdtor4n3S9cZ,Born Too Late,audio_features,spotify:track:1liqxWv5Stjdtor4n3S9cZ,0.536,
0,0.0218,https://api.spotify.com/v1/audio-analysis/2rMAtCaTj16NptyVfEIeAC,Peggy Lee,0.921,192540.0,0.635,2rMAtCaTj16NptyVfEIeAC,0.0,1.0,0.0946,-4.904,1.0,0.416,130.028,4.0,https://api.spotify.com/v1/tracks/2rMAtCaTj16NptyVfEIeAC,Fever,audio_features,spotify:track:2rMAtCaTj16NptyVfEIeAC,0.549,
0,0.978,https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I,Kalin Twins,0.367,196077.0,0.111,43zdsphuZLzwA9k4DJhU0I,3.97e-05,4.0,0.0897,-14.084,1.0,0.0972,82.642,4.0,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I,When,audio_features,spotify:track:43zdsphuZLzwA9k4DJhU0I,0.198,
0,0.789,https://api.spotify.com/v1/audio-analysis/4nAJtcmiyoL0ARY5WZY9IN,Duane Eddy His Twangy Guitar And The Rebels,0.388,153533.0,0.434,4nAJtcmiyoL0ARY5WZY9IN,0.954,7.0,0.728,-11.997,1.0,0.0354,206.313,4.0,https://api.spotify.com/v1/tracks/4nAJtcmiyoL0ARY5WZY9IN,Rebel-'rouser,audio_features,spotify:track:4nAJtcmiyoL0ARY5WZY9IN,0.873,
0,0.0682,https://api.spotify.com/v1/audio-analysis/7n8FJ3bzGdfcmjTwhOokpz,The Johnny Otis Show,0.767,153933.0,0.877,7n8FJ3bzGdfcmjTwhOokpz,1.77e-05,6.0,0.245,-6.754,1.0,0.155,98.823,4.0,https://api.spotify.com/v1/tracks/7n8FJ3bzGdfcmjTwhOokpz,Willie And The Hand Jive,audio_features,spotify:track:7n8FJ3bzGdfcmjTwhOokpz,0.921,
0,0.298,https://api.spotify.com/v1/audio-analysis/1iEZwHyU08FwHqAql9A8uo,The Olympics,0.456,205120.0,0.452,1iEZwHyU08FwHqAql9A8uo,0.00258,11.0,0.0879,-7.04,0.0,0.0386,187.85,3.0,https://api.spotify.com/v1/tracks/1iEZwHyU08FwHqAql9A8uo,Western Movies,audio_features,spotify:track:1iEZwHyU08FwHqAql9A8uo,0.487,
0,0.657,https://api.spotify.com/v1/audio-analysis/6QfGyzfwf7dm38Tmf49BpC,Doris Day,0.834,160467.0,0.284,6QfGyzfwf7dm38Tmf49BpC,2.4e-06,3.0,0.0676,-13.497,1.0,0.102,92.224,4.0,https://api.spotify.com/v1/tracks/6QfGyzfwf7dm38Tmf49BpC,Everybody Loves A Lover,audio_features,spotify:track:6QfGyzfwf7dm38Tmf49BpC,0.684,
0,0.313,https://api.spotify.com/v1/audio-analysis/5nNpVC9AC6DWgrT5RX0e0b,The Everly Brothers,0.574,186000.0,0.514,5nNpVC9AC6DWgrT5RX0e0b,0.00362,11.0,0.274,-8.02,0.0,0.028,111.005,3.0,https://api.spotify.com/v1/tracks/5nNpVC9AC6DWgrT5RX0e0b,Devoted To You,audio_features,spotify:track:5nNpVC9AC6DWgrT5RX0e0b,0.352,
0,0.385,https://api.spotify.com/v1/audio-analysis/40fD7ct05FvQHLdQTgJelG,Bobby Darin,0.645,131720.0,0.943,40fD7ct05FvQHLdQTgJelG,0.0,0.0,0.37,-1.526,1.0,0.0393,147.768,4.0,https://api.spotify.com/v1/tracks/40fD7ct05FvQHLdQTgJelG,Splish Splash,audio_features,spotify:track:40fD7ct05FvQHLdQTgJelG,0.965,
0,0.461,https://api.spotify.com/v1/audio-analysis/1TRBNskaco4d6OQ9uVY7rz,Frankie Avalon,0.546,123653.0,0.623,1TRBNskaco4d6OQ9uVY7rz,4.32e-05,8.0,0.195,-12.136,1.0,0.0352,147.226,4.0,https://api.spotify.com/v1/tracks/1TRBNskaco4d6OQ9uVY7rz,Ginger Bread,audio_features,spotify:track:1TRBNskaco4d6OQ9uVY7rz,0.976,
0,0.878,https://api.spotify.com/v1/audio-analysis/3bOkX6Yz6Pe4NByWzuJY6G,Pat Boone,0.31,162307.0,0.122,3bOkX6Yz6Pe4NByWzuJY6G,0.000182,3.0,0.122,-16.23,1.0,0.0344,83.152,4.0,https://api.spotify.com/v1/tracks/3bOkX6Yz6Pe4NByWzuJY6G,If Dreams Came True,audio_features,spotify:track:3bOkX6Yz6Pe4NByWzuJY6G,0.342,
